file,recipe
submission_tomorrow_cutoff_submission_v8_cutoff_boost_w3_base_60_40.csv,0.6*cutoff + 0.4*base
submission_tomorrow_cutoff_submission_v8_cutoff_boost_w3_gated_60_40.csv,0.6*cutoff + 0.4*gated
submission_tomorrow_cutoff_submission_v8_cutoff_boost_w3_base_70_30.csv,0.7*cutoff + 0.30000000000000004*base
submission_tomorrow_cutoff_submission_v8_cutoff_boost_w3_gated_70_30.csv,0.7*cutoff + 0.30000000000000004*gated
submission_tomorrow_cutoff_submission_v8_cutoff_boost_w3_base_80_19.csv,0.8*cutoff + 0.19999999999999996*base
submission_tomorrow_cutoff_submission_v8_cutoff_boost_w3_gated_80_19.csv,0.8*cutoff + 0.19999999999999996*gated
submission_tomorrow_pa_gate_s3_q80_submission_v8_cutoff_boost_w3_vs_base.csv,"gate(PA,pa_gate_s3_q80)*cutoff + (1-gate)*base"
submission_tomorrow_pa_gate_s3_q80_submission_v8_cutoff_boost_w3_vs_gated.csv,"gate(PA,pa_gate_s3_q80)*cutoff + (1-gate)*gated"
submission_tomorrow_pa_gate_s3_q85_submission_v8_cutoff_boost_w3_vs_base.csv,"gate(PA,pa_gate_s3_q85)*cutoff + (1-gate)*base"
submission_tomorrow_pa_gate_s3_q85_submission_v8_cutoff_boost_w3_vs_gated.csv,"gate(PA,pa_gate_s3_q85)*cutoff + (1-gate)*gated"
submission_tomorrow_pa_gate_s3_q90_submission_v8_cutoff_boost_w3_vs_base.csv,"gate(PA,pa_gate_s3_q90)*cutoff + (1-gate)*base"
submission_tomorrow_pa_gate_s3_q90_submission_v8_cutoff_boost_w3_vs_gated.csv,"gate(PA,pa_gate_s3_q90)*cutoff + (1-gate)*gated"
submission_tomorrow_pa_gate_s4_q80_submission_v8_cutoff_boost_w3_vs_base.csv,"gate(PA,pa_gate_s4_q80)*cutoff + (1-gate)*base"
submission_tomorrow_pa_gate_s4_q80_submission_v8_cutoff_boost_w3_vs_gated.csv,"gate(PA,pa_gate_s4_q80)*cutoff + (1-gate)*gated"
submission_tomorrow_pa_gate_s4_q85_submission_v8_cutoff_boost_w3_vs_base.csv,"gate(PA,pa_gate_s4_q85)*cutoff + (1-gate)*base"
submission_tomorrow_pa_gate_s4_q85_submission_v8_cutoff_boost_w3_vs_gated.csv,"gate(PA,pa_gate_s4_q85)*cutoff + (1-gate)*gated"
submission_tomorrow_pa_gate_s4_q90_submission_v8_cutoff_boost_w3_vs_base.csv,"gate(PA,pa_gate_s4_q90)*cutoff + (1-gate)*base"
submission_tomorrow_pa_gate_s4_q90_submission_v8_cutoff_boost_w3_vs_gated.csv,"gate(PA,pa_gate_s4_q90)*cutoff + (1-gate)*gated"
submission_tomorrow_pa_gate_s5_q80_submission_v8_cutoff_boost_w3_vs_base.csv,"gate(PA,pa_gate_s5_q80)*cutoff + (1-gate)*base"
submission_tomorrow_pa_gate_s5_q80_submission_v8_cutoff_boost_w3_vs_gated.csv,"gate(PA,pa_gate_s5_q80)*cutoff + (1-gate)*gated"
